STN NO,NYEAR,INDEX,STATION NAME,LAT,LON,ELEVATION,DIST_COAST,av_an_tmax,WET_SPL,DRY_APL,D_MAX_RF,AMT_WET_SPL,AMT_MON,WDAY_MON,AMT_AU,AMT_WIN,AMT_SP,AMT_SU,WDAY_AU,WDAY_WIN,WDAY_SP,WDAY_SU,AN_WET_DYS,AN_RAINFALL,AMT/WDAY
1,70,46002,WANAARING,-29.766,143.114,118,594.7,27.61,3.29,65.84,44.03,42.54,19.26,2.16,52.98,45.52,54.19,78.25,6.01,6.74,6.99,6.16,25.9,230.94,8.93
2,118,46003,YANCO,-31.287,141.444,233,369.73,25.02,3.29,66.39,37.01,29.28,17.07,2.37,47.53,48.73,49.86,58.47,5.86,8.98,7.34,6.2,28.38,204.59,7.18
3,53,46052,WANAARING,-29.409,143.381,115,635.79,27.95,3.57,67.42,45.65,44.86,19.83,2.37,56.61,47.96,51.58,81.45,6.4,7.23,7.4,7.41,28.44,237.6,8.27
4,27,46063,GEMVILLE,-30.9,143,153,522.15,26.81,3.7,52.81,39.56,36.2,17.57,3.2,42.78,48.74,51.91,68.56,7.74,12.41,9.22,9.07,38.44,211.99,5.69
5,39,46085,YALPUNGA,-29,142,163,558.81,27.68,3.8,77.61,35.2,36.44,14,2.26,35.42,38.14,32.85,63.08,5.9,7.51,6.36,7.51,27.28,169.49,6.55
6,36,46106,TINAPAGEE,-29.467,144.383,125,715.34,27.95,4.14,58.44,51.84,52.02,25.7,2.91,74.51,55.06,72.31,107.03,8.03,9.03,9.28,8.61,34.95,308.91,8.76
7,30,46107,BROKEN,-31.62,142.291,120,431.25,26.20,2.97,66.2,42.66,28.12,18.4,2.04,46.18,51.04,57.16,65.88,5.03,7.43,6.83,5.17,24.46,220.26,8.95
8,35,46115,TILPA,-31.389,144.042,90,595.4,26.89,3.8,66.03,51.12,38.03,23.57,2.72,69.93,59.17,69.04,83.94,7.51,9.71,8.89,6.49,32.6,282.08,8.63
9,62,46117,BROKEN,-31.484,142.331,160,440.89,25.60,3.02,79.77,41.69,33.39,17.56,1.88,50.62,44.6,49.49,65.99,5.24,7.21,5.6,4.58,22.63,210.7,9.79
10,42,46118,ANNALARA,-31.267,144.033,83.8,599.38,26.63,3.19,62.1,38.73,39.02,19.5,2.21,56.53,49.75,55.71,72.34,6.41,7.33,6.59,6.26,26.59,234.33,8.84
11,77,47015,KINCHEGA,-32.45,142.4,61,413.77,25.48,3.49,56.88,38.75,30.62,18.51,2.73,54.4,55.32,56.63,55.88,7.39,10.95,8.18,6.25,32.77,222.23,6.87
12,86,47016,LAKE,-34.04,141.265,43,266.23,23.89,4.72,42.62,32.99,25.75,21.5,5.04,54.96,72.13,74.46,56.29,12.94,23.06,15.77,8.73,60.5,257.84,4.27
13,117,47031,BROKEN,-31.88,141.593,238,359.07,24.51,4.23,50.57,36.96,35.99,18.38,3.54,50.42,48.29,57.25,64.3,9.16,13.41,11.34,8.52,42.43,220.26,5.24
14,111,47037,BROKEN,-31.89,141.99,146,393.49,25.41,3.42,61.32,36.55,31.92,17.13,2.51,46.26,43.27,50.99,65.12,6.67,9.06,7.8,6.63,30.16,205.64,6.83
15,75,47045,WENTWORTH,-33.334,141.769,44,355.98,24.73,4.49,42.95,39.74,26.9,21.28,4.43,56.54,63.91,66.4,68.18,11.12,18.69,14.05,9.21,53.07,255.03,4.76
16,45,47058,MENINDEE,-32.39,142.416,64,416.6,25.72,4.33,52.02,40.28,36.51,21.76,3.87,57.57,57.06,68.15,77.83,9.29,15.29,12.93,8.82,46.33,260.61,5.49
17,47,47060,SILISTRIA,-32,142.217,157,409.67,25.17,2.85,69.32,30.79,24.59,13.27,2.06,37.23,39.55,38.9,43.2,5.64,7.85,5.91,5.34,24.74,158.88,6.36
18,25,47088,THACKARINGA,-32,141.1,218,311,24.39,4.36,53.12,40.12,23.83,18.27,3.1,43.19,63.59,66.14,46.14,8.04,13.52,9.84,5.84,37.24,219.06,5.93
19,118,48013,BOURKE,-30.092,145.936,106,626.19,27.53,4.45,46.13,51.02,49.36,29.34,3.87,91.89,70.58,75.62,113.93,10.44,12.22,11.69,12.05,46.4,352.02,7.5
20,90,48018,COLLARENEBRI,-29.538,148.405,140,487.47,27.43,4.84,43.12,65.51,70.59,41.14,4.3,118.88,89.22,110.36,175.39,10.71,12.54,13.31,15.07,51.63,493.85,9.52
21,112,48020,MUNGINDI,-29.036,148.646,168,452.91,27.69,4.69,51.51,60.31,67.07,39.6,3.54,109.75,93.29,101,171.28,8.93,10.12,10.65,12.76,42.46,475.32,11.63
22,46,48027,COBAR,-31.484,145.829,260,552.52,25.67,4.74,38.7,49.86,51.5,33.06,5.2,94.73,82.46,95.33,125.14,13.65,17.67,16.96,14.11,62.39,397.66,6.28
